2026-05-05 23:23:05,007 | INFO | robo_stur | Log iniciado em: /Users/gabrielfornydesouzamuniz/Documents/projetos/robo_stur_base/logs/robo_stur_20260505_232305.log
2026-05-05 23:23:05,007 | INFO | robo_stur | Iniciando processamento do arquivo: /Users/gabrielfornydesouzamuniz/Downloads/2026-04-15_000000000455_d8266ce4caa4.xlsx
2026-05-05 23:23:05,296 | INFO | robo_stur | Aba/Origem carregada: Transações
2026-05-05 23:23:05,296 | INFO | robo_stur | Colunas encontradas: ['Transações', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14']
2026-05-05 23:23:05,306 | INFO | robo_stur | Total de transações com código após '*': 208
2026-05-05 23:23:06,038 | INFO | robo_stur | Acessando STUR: https://ww3.sturweb.com.br/STABIATURISMO/Login.aspx
2026-05-05 23:23:20,296 | WARNING | robo_stur | Usuário ativo em outra sessão. Desbloqueando usuário...
2026-05-05 23:23:26,853 | INFO | robo_stur | Usuário desbloqueado e login realizado.
2026-05-05 23:23:26,853 | INFO | robo_stur | Login finalizado com sucesso.
2026-05-05 23:23:34,075 | INFO | robo_stur | Acessando menu Operacional -> Vendas
2026-05-05 23:23:41,379 | INFO | robo_stur | Tela de vendas acessada.
